分類コード,分類名称,診療行為コード,診療行為,点数,総計(患者数),北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
B001_1,ウイルス疾患指導料,113034310,ウイルス疾患指導料１（情報通信機器を用いた場合）,209,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B001_1,ウイルス疾患指導料,113034410,ウイルス疾患指導料２（情報通信機器を用いた場合）,287,30,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
B001_2,特定薬剤治療管理料,113000410,特定薬剤治療管理料１,470,769725,44407,8371,9670,15476,7066,5688,10703,17753,13014,11306,37224,32647,91068,47399,12512,6568,8303,4540,4560,13503,10046,24965,45584,9799,7696,18489,56689,31780,6704,4385,3659,3941,12283,18493,8001,4120,4790,10294,4889,30408,4396,7526,8762,7195,7279,11525,7934
B001_2,特定薬剤治療管理料,113000510,特定薬剤治療管理料１（第４月目以降）,235,297179,24844,4396,5634,5377,5016,2594,5618,6520,5239,5443,13521,14117,34829,16635,5779,3350,3642,2111,1413,5046,4556,8455,15267,3373,3548,6068,21028,10586,2753,1922,1475,1563,3863,5777,2932,1311,1612,3495,1770,8852,1574,2075,2725,2458,2351,2969,1879
B001_2,特定薬剤治療管理料,113023910,特定薬剤治療管理料２,100,14681,821,47,160,365,178,126,206,337,132,240,504,750,1531,994,336,125,128,83,0,415,197,466,764,255,169,320,1004,636,174,64,81,86,302,352,91,99,134,201,113,684,112,126,283,130,149,156,81
B001_2,特定薬剤治療管理料,180000110,特定薬剤治療管理料１（ジギタリス製剤の急速飽和）,740,391,13,-,-,-,-,0,12,-,-,10,19,15,42,25,10,0,-,-,-,11,13,-,22,-,-,11,61,20,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,13,-,0,0
B001_2,特定薬剤治療管理料,180000210,特定薬剤治療管理料１（抗てんかん剤注射精密管理）,740,586,16,-,-,-,-,-,-,21,-,-,24,24,75,54,-,-,-,-,-,-,-,10,20,-,11,10,56,24,-,13,-,-,-,10,-,-,-,-,-,60,0,-,10,15,-,-,-
B001_3,悪性腫瘍特異物質治療管理料,113001210,悪性腫瘍特異物質治療管理料（尿中ＢＴＡに係るもの）,220,8830,849,48,272,265,198,98,164,12,104,334,668,231,833,514,0,102,200,85,-,290,201,315,451,-,39,303,218,112,200,261,104,32,89,184,13,0,206,76,-,568,39,11,15,-,32,45,30
B001_3,悪性腫瘍特異物質治療管理料,113001310,悪性腫瘍特異物質治療管理料（その他のもの）（１項目）,360,1569867,68730,15867,16156,28803,14922,14655,23764,33870,26105,27682,67337,77428,173858,98361,26041,12734,16694,8566,9277,30860,22518,45927,81846,19954,14389,39536,112298,67842,19260,15139,8168,9753,27169,41888,20837,10503,15115,19242,10601,66030,10509,19833,24464,15208,14410,24115,11269
B001_3,悪性腫瘍特異物質治療管理料,113002110,悪性腫瘍特異物質治療管理料（その他のもの）（２項目以上）,400,2815407,143883,31219,27475,56036,28327,23754,39959,54883,45417,42771,128876,131878,329235,177858,55464,24276,29221,17730,16176,46331,44272,75821,154670,37857,27582,65949,224861,133131,32582,25322,15848,15619,43533,74841,29445,15490,23199,32797,17152,114434,16846,26716,32731,24602,21654,36741,21134
B001_4,小児特定疾患カウンセリング料,113000810,小児特定疾患カウンセリング料（医師による場合）（月の１回目）,500,289377,10621,1606,1769,3074,2775,1631,2179,5850,5869,3048,18516,11025,33149,18036,5324,3320,1765,1352,1664,6314,5788,10386,19760,1658,1998,3341,25537,19116,3873,2620,3546,1987,5239,8707,2564,2496,1695,2459,1735,10080,1099,1142,3697,2277,2820,3822,1744
B001_4,小児特定疾患カウンセリング料,113009910,小児特定疾患カウンセリング料（医師による場合）（月の２回目）,400,62764,2658,540,272,433,532,365,466,572,818,996,3576,1657,8962,5167,824,339,356,141,234,738,1165,1766,4251,387,343,538,6966,5266,329,531,1159,323,1254,1657,926,782,459,541,207,1442,268,185,699,409,651,517,123
B001_4,小児特定疾患カウンセリング料,113029410,小児特定疾患カウンセリング料（公認心理師による場合）,200,13847,347,-,14,61,21,31,36,347,763,88,1988,375,1597,984,-,49,73,-,158,370,135,470,948,16,76,208,748,1456,74,142,150,30,54,236,229,19,24,44,12,468,58,174,81,301,71,106,192
B001_5,小児科療養指導料,113002210,小児科療養指導料,270,160290,5382,989,1226,2384,1099,1240,995,2267,2699,2579,6689,7245,23592,10032,2969,958,659,774,676,2474,2695,5537,14166,1017,2282,3693,15711,7681,1721,711,1099,687,2028,3742,981,912,1196,1714,735,5766,821,1593,2324,1119,1845,2322,1325
B001_5,小児科療養指導料,113029510,小児科療養指導料（情報通信機器を用いた場合）,235,213,0,0,0,0,0,-,11,0,0,0,0,0,181,0,0,0,0,-,0,-,-,0,0,0,0,0,10,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
B001_6,てんかん指導料,113002850,てんかん指導料,250,598363,28846,6258,7596,10746,5603,5240,9413,14581,10739,8878,30560,28551,65416,39211,12634,4767,5365,3639,4015,11667,8619,20588,34003,8097,6372,13274,41125,24613,6758,4268,2804,3038,9818,14071,7441,3701,5405,7654,3378,21968,3240,6371,6474,5359,5463,7624,6490
B001_6,てんかん指導料,113029610,てんかん指導料（情報通信機器を用いた場合）,218,1057,49,0,-,-,0,0,103,-,-,0,10,10,487,-,-,-,-,-,0,50,-,-,111,-,-,-,13,-,0,0,0,-,-,12,0,0,-,0,0,75,0,0,27,-,0,33,13
B001_7,難病外来指導管理料,113002910,難病外来指導管理料,270,1099262,52171,9920,10468,20166,9781,8669,13970,21045,19311,16296,48043,48897,138944,76895,20077,7227,10051,5355,5423,16704,16050,29766,65781,13833,11761,26910,89524,52691,13504,8431,5148,5777,18936,26236,11361,7798,9473,14324,6414,41498,5561,13714,14321,10730,7783,12503,9676
B001_7,難病外来指導管理料,113029710,難病外来指導管理料（情報通信機器を用いた場合）,235,1678,13,-,0,-,0,0,91,-,0,-,55,15,1020,42,18,-,-,-,-,49,-,13,40,-,0,15,115,41,0,-,0,-,17,-,-,0,0,-,-,42,-,13,13,-,0,13,-
B001_8,皮膚科特定疾患指導管理料,113000910,皮膚科特定疾患指導管理料（１）,250,466918,26199,3768,3915,8316,3563,4770,6777,8854,6842,6262,23741,20166,58671,37010,8804,4259,4361,3241,3199,6440,6674,12759,20706,6851,3630,11168,43144,28324,4497,3101,1321,1609,6521,9711,4202,1904,3645,3986,2410,18669,2451,3414,5152,3280,2817,4477,2496
B001_8,皮膚科特定疾患指導管理料,113002310,皮膚科特定疾患指導管理料（２）,100,3210433,142963,17185,25156,53794,19097,25702,33014,51023,42601,34394,172103,136102,497230,297422,52493,24820,26539,24617,25628,36619,41323,78671,201347,39416,31153,87677,282844,171409,35004,18023,10027,11727,42412,77910,30761,11484,24613,21105,10886,113879,18399,27015,25491,17111,14171,29444,12601
B001_8,皮膚科特定疾患指導管理料,113034510,皮膚科特定疾患指導管理料（１）（情報通信機器を用いた場合）,218,139,-,-,0,0,-,21,0,-,0,0,0,-,51,12,0,-,0,0,0,-,0,0,-,-,0,-,-,-,0,0,0,0,0,-,0,0,-,0,0,-,-,0,-,0,0,-,0
B001_8,皮膚科特定疾患指導管理料,113034610,皮膚科特定疾患指導管理料（２）（情報通信機器を用いた場合）,87,2051,34,-,-,0,-,150,-,13,0,0,17,19,1069,273,-,20,-,-,0,-,0,-,-,-,0,14,235,58,15,0,0,0,-,-,0,0,12,0,0,15,35,0,-,-,-,0,-
B001_9,外来栄養食事指導料,113017410,外来栄養食事指導料１（初回）（対面で行った場合）,260,660474,29619,5289,7577,11416,3348,4539,8977,15077,10072,13561,32825,34117,74197,49750,9620,5643,5514,3515,3111,13525,11314,20966,47454,8984,5942,12889,41723,28961,6167,3827,2683,2985,11968,15035,5243,3333,5396,6655,3775,25479,3415,6043,10488,5562,4758,9266,9531
B001_9,外来栄養食事指導料,113017510,外来栄養食事指導料１（２回目以降）（対面で行った場合）,200,728819,35388,3615,9793,14764,2949,3648,11678,15559,10369,12679,31195,36549,84479,62246,11528,6128,6125,3527,4022,14138,11955,23895,56528,9736,7543,14713,51558,29331,6327,3652,2332,5443,14550,15404,5057,4822,5784,7681,3245,31129,3989,5233,8190,5391,3052,5347,6928
B001_9,外来栄養食事指導料,113029810,外来栄養食事指導料１（２回目以降）（情報通信機器等を用いた場合）,180,2414,148,0,-,76,-,40,67,33,29,20,236,77,436,168,13,-,-,-,-,24,22,20,131,21,11,102,270,99,37,-,-,-,19,83,15,-,-,28,-,86,0,22,-,-,-,-,17
B001_9,外来栄養食事指導料,113029910,外来栄養食事指導料２（初回）（対面で行った場合）,250,17061,1151,148,156,276,31,359,83,410,145,413,1219,1202,2420,1723,325,70,154,-,340,388,168,304,570,348,108,187,804,375,135,-,66,191,241,283,23,23,260,50,140,208,60,172,279,169,132,372,362
B001_9,外来栄養食事指導料,113030010,外来栄養食事指導料２（２回目以降）（対面で行った場合）,190,24354,774,723,287,522,-,418,107,529,285,155,1762,1042,5757,2012,189,17,36,0,596,671,237,548,1157,1233,64,245,1780,259,266,-,57,117,258,95,17,58,97,87,73,366,507,186,79,81,34,170,389
B001_9,外来栄養食事指導料,113034710,外来栄養食事指導料１（初回）（情報通信機器等を用いた場合）,235,549,39,0,-,-,0,-,-,-,-,-,102,-,92,36,14,0,-,-,0,-,-,-,38,-,-,-,61,16,-,0,0,-,-,13,-,-,0,-,-,21,-,10,-,-,-,-,-
B001_9,外来栄養食事指導料,113034810,外来栄養食事指導料２（初回）（情報通信機器等を用いた場合）,225,126,13,0,0,0,0,0,0,0,-,0,-,-,-,0,40,0,0,0,0,0,0,0,-,0,0,-,28,0,0,0,0,0,0,-,0,0,0,0,0,-,0,-,-,0,0,-,-
B001_9,外来栄養食事指導料,113034910,外来栄養食事指導料２（２回目以降）（情報通信機器等を用いた場合）,170,187,-,0,0,-,0,-,0,-,0,-,-,-,114,-,-,0,0,0,0,0,0,-,0,12,0,-,30,-,-,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0,0,0,0
B001_9,外来栄養食事指導料,113035010,外来栄養食事指導料（注３に掲げるがん専門管理栄養士が栄養食事指導を行う場合）,260,19266,335,13,76,596,22,115,142,159,81,815,576,819,2081,1758,86,212,192,-,0,1097,916,1031,1332,179,841,72,2082,891,60,105,67,14,131,159,-,67,46,219,334,586,-,421,488,0,-,23,15
B001_9,外来栄養食事指導料,113044410,外来栄養食事指導料（注２に掲げる外来化学療法の実施患者の栄養食事指導を行う場合）,200,663,-,-,0,-,0,0,-,-,0,35,22,31,67,164,-,-,-,0,0,-,32,11,32,12,-,10,38,37,-,103,0,-,-,0,11,0,0,-,0,16,0,0,0,0,0,-,0
B001_10,入院栄養食事指導料（週１回）,113017610,入院栄養食事指導料１（初回）（週１回）,260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B001_10,入院栄養食事指導料（週１回）,113017710,入院栄養食事指導料１（２回目）（週１回）,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B001_11,集団栄養食事指導料,113003410,集団栄養食事指導料,80,8438,181,305,47,386,38,139,182,71,226,19,199,187,976,387,473,130,24,13,-,32,138,387,801,80,13,77,486,197,32,18,-,-,375,130,356,32,72,131,0,636,145,53,52,61,16,38,80
B001_12,心臓ペースメーカー指導管理料,113015010,心臓ペースメーカー指導管理料（着用型自動除細動器による場合）,360,884,65,18,-,-,46,0,27,-,-,47,12,38,100,43,-,0,-,13,-,-,16,13,24,15,-,15,51,19,-,-,-,16,13,52,25,0,0,0,0,54,-,10,10,31,19,26,12
B001_12,心臓ペースメーカー指導管理料,113015130,心臓ペースメーカー指導管理料（着用型自動除細動器による場合の植込型除細動器移行期加算を含む。）,31870,488,15,18,-,14,0,13,-,-,-,-,18,39,73,27,10,0,-,-,0,-,15,-,27,-,0,-,56,21,-,0,-,-,11,-,11,0,-,-,0,30,-,0,-,-,-,-,12
B001_12,心臓ペースメーカー指導管理料,113030210,心臓ペースメーカー指導管理料（ペースメーカーの場合）,300,372960,23091,5505,4044,7482,4562,4329,6109,7504,4866,5866,16718,15929,35695,24140,6529,2680,3395,2597,2296,7741,5720,10764,17455,5278,4120,8180,23998,15637,3919,2778,2442,2566,6331,9368,5139,2693,3375,4489,2884,16506,2320,4829,5810,3630,3738,5220,3597
B001_12,心臓ペースメーカー指導管理料,113030310,心臓ペースメーカー指導管理料（植込型除細動器又は両室ペーシング機能付き植込型除細動器の場合）,520,51948,2954,650,530,1095,437,502,727,1230,586,929,2115,2571,6053,4086,1242,416,448,295,200,722,765,1395,3062,836,486,951,4007,2031,407,390,97,184,1215,1004,471,278,286,396,261,2340,218,420,889,412,461,303,817
B001_13,在宅療養指導料,113002410,在宅療養指導料,170,326959,15911,2762,3182,5726,1333,2113,4385,7180,5384,3534,14387,16299,41066,24339,5950,4163,2621,1719,947,7658,5660,8242,23618,3697,4432,6283,30822,16617,2294,1466,893,2031,6031,6788,1407,2472,2463,2655,442,12742,1744,2923,2127,1905,1506,2005,3456
B001_14,高度難聴指導管理料,113003010,高度難聴指導管理料（術後３月以内）,500,988,26,-,11,20,-,12,-,14,13,-,17,18,307,51,19,-,13,10,-,29,11,27,49,-,12,39,62,51,-,13,-,-,18,22,0,-,-,23,-,16,-,14,-,-,-,-,-
B001_14,高度難聴指導管理料,113003110,高度難聴指導管理料（イ以外の場合）,420,115205,5376,433,1812,2211,331,621,839,1330,2767,1766,4147,4333,15505,7133,3480,617,742,981,837,2379,1645,2531,7974,1300,1812,3442,10234,7566,1685,1030,869,996,1017,1305,691,1045,1159,1652,431,3258,216,1057,936,670,1435,1333,467
B001_15,慢性維持透析患者外来医学管理料,113002510,慢性維持透析患者外来医学管理料,2211,309938,13710,3385,3065,5502,2027,2531,5067,8082,6162,5871,17931,14693,28507,19535,4843,2342,2577,1735,2298,5272,4928,10751,17256,4236,3070,5802,20331,13305,3266,2806,1490,1546,4833,6769,3421,2429,2519,3601,2154,13187,2440,3677,5987,3658,3672,4900,4137
B001_16,喘息治療管理料,113004910,喘息治療管理料１（２月目以降）,25,85526,1858,196,473,1284,435,549,295,1944,1242,264,4972,2260,11950,14186,913,94,392,160,344,1154,462,5386,9132,2053,224,1423,5377,2712,431,445,92,206,1191,1450,826,136,173,264,59,4855,87,2089,376,109,506,309,195
B001_16,喘息治療管理料,113005710,喘息治療管理料１（１月目）,75,30521,411,39,38,429,75,212,59,624,822,96,1935,956,5861,4164,39,-,270,22,76,507,166,1174,2331,442,31,713,2118,1173,87,155,-,124,620,772,157,38,27,163,59,2251,21,723,39,30,140,79,234
B001_16,喘息治療管理料,113018110,喘息治療管理料２（６歳未満）,280,6428,434,61,-,12,0,27,43,62,76,11,295,206,540,504,20,0,270,-,-,54,43,160,412,85,38,119,414,604,34,-,14,179,99,179,52,356,25,48,25,403,0,33,126,82,74,102,87
B001_16,喘息治療管理料,113018210,喘息治療管理料２（６５歳以上）,280,1735,105,0,-,18,0,22,11,48,56,52,110,22,187,144,49,0,-,-,-,95,14,58,114,20,18,56,135,32,-,19,-,11,-,46,20,10,10,20,0,135,0,-,21,23,0,-,13
B001_17,慢性疼痛疾患管理料,113006510,慢性疼痛疾患管理料,130,2449951,73521,8323,19003,32731,17945,40648,58413,46022,39320,31129,121233,144842,350396,272413,61800,6767,7072,2580,18235,56131,25006,80085,101207,37660,35164,54760,164480,129448,32288,14779,18353,14344,15149,43048,21740,4157,10640,34801,10798,86023,7879,24524,16843,5264,18884,5535,30899
B001_18,小児悪性腫瘍患者指導管理料,113006610,小児悪性腫瘍患者指導管理料,550,8107,235,65,65,151,66,71,74,164,149,114,479,301,1347,413,146,62,75,23,-,112,80,277,568,-,82,247,541,426,52,37,45,25,132,96,60,44,57,141,26,508,32,78,123,52,86,150,90
B001_20,糖尿病合併症管理料,113010010,糖尿病合併症管理料,170,59735,2837,259,645,564,170,547,380,742,1162,948,2444,1836,5842,4408,476,704,599,266,210,1123,885,1956,4092,823,1034,2011,5555,3533,991,600,310,774,693,1222,697,357,1019,1398,244,2670,246,529,226,337,360,452,595
B001_21,耳鼻咽喉科特定疾患指導管理料,113010110,耳鼻咽喉科特定疾患指導管理料,150,84640,5317,398,86,2113,322,577,1363,868,1396,671,2678,6883,11397,9715,1365,259,286,154,264,725,1258,2491,7810,422,710,1103,6904,3527,607,707,414,439,1601,1776,1160,551,885,631,331,2058,393,362,459,824,131,50,249
B001_22,がん性疼痛緩和指導管理料,113012810,がん性疼痛緩和指導管理料,200,90099,3832,983,973,1792,1029,1243,777,1627,1223,1536,4732,5649,10988,8687,1763,617,1043,287,268,1520,1266,2639,5313,1048,837,1570,6336,4184,840,489,479,314,992,2069,668,308,490,1125,585,3315,431,985,1034,831,491,785,749
B001_22,がん性疼痛緩和指導管理料,113035210,がん性疼痛緩和指導管理料（情報通信機器を用いた場合）,174,45,0,0,0,0,0,0,0,-,0,0,-,-,-,-,0,-,0,0,0,-,0,-,0,0,0,0,-,16,0,-,0,0,0,-,0,0,0,0,0,-,0,0,-,-,0,0,0
B001_23,がん患者指導管理料,113015210,がん患者指導管理料（医師が看護師と共同して診療方針等を話し合い、その内容を文書等により提供した場合）,500,125603,4723,608,704,1220,882,2071,703,2586,3481,3390,4024,6074,12088,6888,996,1481,902,1002,588,3395,2260,3065,8075,825,1834,3516,14492,5817,1158,298,1486,760,1885,4619,1172,344,939,1497,608,4752,567,1935,765,1367,481,2171,1342
B001_23,がん患者指導管理料,113015310,がん患者指導管理料（医師、看護師又は公認心理師が心理的不安を軽減するための面接を行った場合）,200,104427,4372,1258,207,881,213,451,834,1479,3480,1075,5726,6600,17847,9443,761,941,1329,359,186,2203,3387,2774,3819,365,1349,2916,10591,4454,1394,366,288,598,609,1605,754,118,860,309,83,2271,790,448,346,1820,218,1182,1170
B001_23,がん患者指導管理料,113015410,がん患者指導管理料（医師又は薬剤師が抗悪性腫瘍剤の投薬又は注射の必要性等について文書により説明を行った場合）,200,66625,2738,409,735,1845,765,1142,502,1190,1455,1023,2293,2995,6183,4829,698,390,315,110,0,1625,706,1854,4323,640,874,1283,6417,2345,546,811,806,669,1660,2642,416,150,549,1221,271,3306,199,497,462,761,510,1022,458
B001_23,がん患者指導管理料,113030810,がん患者指導管理料（医師が遺伝子検査の必要性等について文書により説明を行った場合）,300,10259,626,24,122,195,23,47,25,219,151,372,393,411,1247,747,203,40,77,115,0,59,-,128,642,137,137,382,973,618,73,61,70,27,50,205,25,26,105,84,70,342,-,52,124,48,125,541,97
B001_23,がん患者指導管理料,113035310,がん患者指導管理料（医師が看護師と共同して診療方針等を話し合い、その内容を文書等により提供した場合）（情報通信機器を用いた場合）,435,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B001_23,がん患者指導管理料,113035410,がん患者指導管理料（医師、看護師又は公認心理師が心理的不安を軽減するための面接を行った場合）（情報通信機器を用いた場合）,174,10,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,0,0,0,0,-,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
B001_23,がん患者指導管理料,113035610,がん患者指導管理料（医師が遺伝子検査の必要性等について文書により説明を行った場合）（情報通信機器を用いた場合）,261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B001_24,外来緩和ケア管理料,113013010,外来緩和ケア管理料,290,6801,821,-,13,100,15,66,30,211,86,138,120,181,1063,733,50,96,29,98,-,70,14,244,452,-,14,47,620,516,114,54,-,-,64,61,-,-,46,143,30,259,-,30,37,0,28,59,11
B001_24,外来緩和ケア管理料,113035710,外来緩和ケア管理料（情報通信機器を用いた場合）,252,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B001_25,移植後患者指導管理料,113013210,移植後患者指導管理料（臓器移植後の場合）,300,24338,1299,155,184,682,299,115,60,101,847,372,597,773,3755,1266,382,107,42,59,39,282,235,105,2812,251,0,1173,2315,1051,0,80,0,31,826,411,192,116,199,355,192,1157,13,316,586,89,78,185,347
B001_25,移植後患者指導管理料,113013310,移植後患者指導管理料（造血幹細胞移植後の場合）,300,9394,375,45,44,391,42,72,54,240,130,34,109,255,2065,595,85,79,43,19,0,209,25,133,695,37,58,244,1072,438,29,82,39,25,175,216,26,44,54,75,23,520,57,46,54,48,27,246,51
B001_25,移植後患者指導管理料,113035810,移植後患者指導管理料（臓器移植後の場合）（情報通信機器を用いた場合）,261,20,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,-,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001_26,植込型輸液ポンプ持続注入療法指導管理料,113013410,植込型輸液ポンプ持続注入療法指導管理料,810,1572,48,21,0,19,-,18,-,67,33,17,56,62,139,83,-,30,-,10,10,16,23,23,158,32,27,38,163,45,37,-,10,-,18,24,29,-,-,17,-,78,15,11,21,29,17,27,63
B001_27,糖尿病透析予防指導管理料,113013610,糖尿病透析予防指導管理料,350,30915,1347,229,477,346,205,230,151,1046,672,567,1204,1103,2558,1454,527,850,1265,83,151,682,464,446,1946,270,463,618,3045,1580,91,75,191,141,376,281,141,358,116,887,133,1518,285,308,768,248,133,691,196
B001_27,糖尿病透析予防指導管理料,113030910,糖尿病透析予防指導管理料（情報通信機器を用いた場合）,305,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001_28,小児運動器疾患指導管理料,113024310,小児運動器疾患指導管理料,250,147437,1907,3029,1357,3706,1177,305,797,914,1863,2094,6545,10847,22911,7199,2372,1393,1139,279,267,1424,1337,3058,19734,2037,2899,3904,10524,8232,774,727,243,239,1253,1623,824,713,531,2986,875,6064,1626,550,1827,582,1388,662,1141
B001_29,乳腺炎重症化予防ケア・指導料,113024410,乳腺炎重症化予防ケア・指導料（初回）,500,32352,1410,178,177,560,26,300,336,543,364,205,1040,1415,3207,1545,526,501,419,174,176,486,625,598,2556,832,737,666,2261,1600,338,297,536,118,535,376,575,329,126,501,233,1921,205,722,375,371,269,702,452
B001_29,乳腺炎重症化予防ケア・指導料,113024510,乳腺炎重症化予防ケア・指導料（２回目から４回目まで）,150,11876,472,49,72,171,-,105,136,174,129,80,311,447,1351,572,195,213,120,81,82,171,149,245,865,279,315,215,662,550,161,83,157,62,195,198,311,93,-,138,68,858,105,321,221,149,100,231,196
